BASE_ADDR,SIDR_ADDR,HWCFG3,HWCFG2,HWCFG1,VER,IPID,SIDR,NAME,NOTES
40000000,400003fc,00000000,00002011,22030104,00000042,00120002,a3c5dd01,TIM2,
40000400,400007fc,00000000,00001011,22030104,00000042,00120002,a3c5dd01,TIM3,
40001000,400013fc,00000000,00001011,11000100,00000042,00120002,a3c5dd01,TIM6,
40001400,400017fc,00000000,00001011,11000100,00000042,00120002,a3c5dd01,TIM7,
40002c00,40002ffc,00000000,00000000,00001000,00000021,00120051,a3c5dd01,WWDG,
40003000,400033fc,00000000,00000000,00000001,00000032,00120041,a3c5dd01,IWDG,
40003800,40003bfc,00000000,00000000,01011144,00000021,00130023,a3c5dd01,SPI2,
40003c00,40003ffc,00000000,00000000,01011144,00000021,00130023,a3c5dd01,SPI3,
40004400,400047fc,00000000,00000013,30111111,00000032,00130003,a3c5dd01,USART2,
40004800,40004bfc,00000000,00000013,30111111,00000032,00130003,a3c5dd01,USART3,
40005400,400057fc,00000000,00000000,00000111,00000020,00130012,a3c5dd01,I2C1,
40005800,40005bfc,00000000,00000000,00000111,00000020,00130012,a3c5dd01,I2C2,
40005c00,40005ffc,00000000,00000000,00042222,00000011,00130081,a3c5dd01,I3C1,
40006000,400063fc,00000000,00000000,00002006,00000014,00150011,a3c5dd01,CRS,
40009400,400097fc,00000000,00000402,00010804,00000022,00120011,a3c5dd01,LPTIM2,
4000a400,4000a7fc,00000000,00000000,00000011,00000010,00130072,a3c5dd01,FDCAN1,
40012c00,40012ffc,00000000,00001011,22332146,00000042,00120002,a3c5dd01,TIM1,
40013000,400133fc,00000000,00000000,01011144,00000021,00130023,a3c5dd01,SPI1,
40013800,40013bfc,00000000,00000013,30111111,00000032,00130003,a3c5dd01,USART1,
40015400,400163fc,00000000,00000000,00000018,00000011,00150002,a3c5dd04,USB,"offset as usual"
40020000,40020ffc,44442222,00002d8b,00010812,00000013,00100003,a3c5dd04,GPDMA1,
40021000,40021ffc,44442222,00002d8b,00010812,00000013,00100003,a3c5dd04,GPDMA2,
40023000,400233fc,00000000,00000000,00000001,00000023,00170001,a3c5dd01,CRC,
40030400,400307fc,00000000,00000000,00e41431,00000012,00100081,a3c5dd01,ICACHE,
40032400,400327fc,00000000,00000000,04005c00,00000022,00100062,a3c5dd01,GTZC1_TZSC,
40032800,40032bfc,00000000,00000000,0000017e,00000022,00100063,a3c5dd01,GTZC1_TZIC,"undocumented"
40032c00,40032ffc,00000000,0000090e,00004000,00000022,00100064,a3c5dd01,GTZC1_MPCBB1,
40033000,400333fc,00000000,0000090e,00004000,00000022,00100064,a3c5dd01,GTZC1_MPCBB2,
42020000,420203fc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOA,
42020400,420207fc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOB,
42020800,42020bfc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOC,
42020c00,42020ffc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOD,
42021c00,42021ffc,00000000,00000000,00000000,00000040,000f0003,a3c5dd01,GPIOH,
42028000,420283fc,00000000,00000000,00001211,00000012,00110006,a3c5dd01,ADC1,
42028400,420287fc,00000000,00000000,00001111,00000050,00110011,a3c5dd01,DAC1,
420c0400,420c07fc,00000000,00000000,00000013,00000040,00170031,a3c5dd01,HASH,
420c0800,420c0bfc,00000000,00000000,00000206,00000042,00170041,a3c5dd01,RNG,
44002400,440027fc,00000000,00000003,31100000,00000032,00130003,a3c5dd01,LPUART1,
44003000,440033fc,00000000,00000000,00042222,00000011,00130081,a3c5dd01,I3C2,
44004400,440047fc,00000000,00000402,00010804,00000022,00120011,a3c5dd01,LPTIM1,
44007800,44007bfc,00000000,00000100,11001111,00000034,00120033,a3c5dd01,RTC,
44007c00,44007ffc,00000000,01100100,5dff1220,00000034,00121033,a3c5dd01,TAMP,
44022000,440223fc,00240000,0001ffff,00081035,00000031,000e0001,a3c5dd01,EXTI,
